block_height,txs
4000,0,1621574137.197
4001,0,1.052
4002,0,1.052
4003,43,1.044
4004,40,1.052
4005,0,1.038
4006,21,1.044
4007,47,1.045
4008,5,1.044
4009,0,1.044
4010,47,1.044
4011,45,1.038
4012,13,1.045
4013,27,1.052
4014,43,1.043
4015,46,1.024
4016,10,1.047
4017,0,1.052
4018,51,1.045
4019,19,1.045
4020,0,1.053
4021,35,1.045
4022,39,1.04
4023,6,1.049
4024,19,1.03
4025,52,1.045
4026,42,1.044
4027,16,1.038
4028,19,1.05
4029,51,1.051
4030,24,1.037
4031,2,1.045
4032,49,1.044
4033,24,1.044
4034,0,1.045
4035,33,1.038
4036,40,1.053
4037,0,1.037
4038,20,1.045
4039,59,1.044
4040,13,1.037
4041,5,1.045
4042,44,1.015
4043,37,1.04
4044,6,1.052
4045,38,1.043
4046,37,1.045
4047,40,1.044
4048,0,1.053
4049,28,1.037
4050,54,1.052
4051,0,1.029
4052,17,1.045
4053,51,1.045
4054,4,1.052
4055,0,1.045
4056,50,1.044
4057,31,1.037
4058,0,1.045
4059,38,1.039
4060,36,1.043
4061,40,1.053
4062,34,1.039
4063,22,1.053
4064,50,1.044
4065,2,1.045
4066,18,1.037
4067,53,1.044
4068,5,1.045
4069,2,1.045
4070,54,1.044
4071,9,1.052
4072,0,1.037
4073,32,1.044
4074,30,1.044
4075,10,1.044
4076,0,1.045
4077,26,1.036
4078,37,1.049
4079,34,1.034
4080,38,1.045
4081,17,1.036
4082,0,1.036
4083,39,1.031
4084,42,1.045
4085,40,1.044
4086,32,1.033
4087,0,1.045
4088,20,1.045
4089,42,1.036
4090,39,1.052
4091,39,1.044
4092,11,1.053
4093,9,1.037
4094,42,1.045
4095,39,1.045
4096,16,1.045
4097,27,1.045
4098,41,1.045
4099,39,1.044
4100,22,1.051
4101,0,1.044
4102,29,1.045
4103,45,1.037
4104,28,1.044
4105,0,1.045
4106,39,1.03
4107,39,1.037
4108,46,1.045
4109,4,1.045
4110,1,1.045
4111,56,1.037
4112,29,1.046
4113,5,1.038
4114,33,1.045
4115,34,1.023
4116,32,1.03
4117,29,1.045
4118,28,1.037
4119,46,1.052
4120,0,1.045
4121,11,1.045
4122,53,1.044
4123,14,1.045
4124,0,1.045
4125,45,1.037
4126,27,1.044
4127,0,1.045
4128,37,1.031
4129,44,1.054
4130,21,1.037
4131,33,1.045
4132,26,1.039
4133,49,1.038
4134,29,1.045
4135,0,1.04
4136,0,1.046
4137,0,1.038
4138,0,1.034
4139,0,1.045
4140,0,1.045
4141,0,1.045
4142,0,1.046
