block_height,txs
3600,0,1621573720.185
3601,0,1.053
3602,0,1.038
3603,0,1.023
3604,32,1.025
3605,39,1.052
3606,1,1.038
3607,29,1.045
3608,44,1.047
3609,0,1.053
3610,25,1.037
3611,45,1.045
3612,0,1.045
3613,19,1.038
3614,53,1.044
3615,3,1.045
3616,2,1.038
3617,54,1.044
3618,22,1.052
3619,0,1.03
3620,45,1.044
3621,36,1.044
3622,9,1.052
3623,46,1.045
3624,26,1.045
3625,28,1.043
3626,28,1.044
3627,33,1.045
3628,43,1.038
3629,1,1.045
3630,18,1.038
3631,53,1.044
3632,7,1.031
3633,3,1.048
3634,54,1.043
3635,17,1.044
3636,0,1.045
3637,47,1.045
3638,29,1.037
3639,7,1.037
3640,34,1.044
3641,43,1.045
3642,35,1.045
3643,15,1.031
3644,35,1.045
3645,40,1.045
3646,30,1.049
3647,0,1.04
3648,26,1.052
3649,44,1.038
3650,13,1.044
3651,0,1.046
3652,45,1.044
3653,40,1.053
3654,33,1.036
3655,16,1.037
3656,37,1.044
3657,46,1.049
3658,12,1.045
3659,0,1.037
3660,44,1.044
3661,35,1.044
3662,0,1.046
3663,15,1.037
3664,36,1.036
3665,36,1.033
3666,38,1.055
3667,26,1.04
3668,19,1.045
3669,38,1.037
3670,27,1.045
3671,0,1.045
3672,25,1.054
3673,44,1.044
3674,43,1.045
3675,14,1.044
3676,28,1.052
3677,44,1.037
3678,36,1.023
3679,0,1.041
3680,35,1.045
3681,47,1.044
3682,16,1.038
3683,16,1.039
3684,50,1.04
3685,42,1.038
3686,20,1.038
3687,20,1.045
3688,44,1.036
3689,33,1.046
3690,0,1.045
3691,41,1.044
3692,37,1.037
3693,0,1.045
3694,26,1.038
3695,55,1.039
3696,0,1.038
3697,14,1.053
3698,49,1.036
3699,21,1.052
3700,1,1.038
3701,58,1.051
3702,31,1.044
3703,3,1.045
3704,45,1.043
3705,38,1.046
3706,33,1.044
3707,6,1.037
3708,28,1.039
3709,50,1.037
3710,0,1.045
3711,14,1.038
3712,44,1.044
3713,13,1.037
3714,0,1.044
3715,54,1.044
3716,20,1.053
3717,0,1.037
3718,39,1.045
3719,32,1.044
3720,24,1.044
3721,31,1.046
3722,30,1.045
3723,45,1.045
3724,28,1.045
3725,11,1.039
3726,41,1.045
3727,29,1.044
3728,0,1.038
3729,0,1.046
3730,0,1.038
3731,0,1.038
3732,0,1.037
