block_height,txs
3800,0,1621573928.76
3801,49,1.036
3802,18,1.046
3803,0,1.036
3804,45,1.031
3805,27,1.044
3806,0,1.053
3807,37,1.032
3808,36,1.053
3809,0,1.038
3810,34,1.053
3811,41,1.039
3812,0,1.024
3813,15,1.041
3814,41,1.052
3815,38,1.036
3816,1,1.045
3817,33,1.037
3818,42,1.038
3819,39,1.046
3820,25,1.046
3821,0,1.041
3822,26,1.038
3823,50,1.038
3824,24,1.048
3825,10,1.044
3826,44,1.037
3827,42,1.045
3828,32,1.039
3829,6,1.05
3830,30,1.045
3831,41,1.054
3832,2,1.038
3833,7,1.052
3834,48,1.036
3835,37,1.047
3836,0,1.045
3837,28,1.047
3838,39,1.041
3839,41,1.047
3840,27,1.03
3841,1,1.045
3842,44,1.045
3843,34,1.044
3844,0,1.045
3845,35,1.045
3846,49,1.044
3847,21,1.046
3848,25,1.045
3849,30,1.044
3850,34,1.037
3851,33,1.045
3852,16,1.052
3853,32,1.036
3854,42,1.052
3855,1,1.038
3856,30,1.051
3857,45,1.036
3858,0,1.053
3859,22,1.038
3860,46,1.039
3861,9,1.032
3862,0,1.016
3863,53,1.044
3864,40,1.053
3865,12,1.038
3866,42,1.045
3867,21,1.045
3868,47,1.032
3869,6,1.024
3870,14,1.038
3871,55,1.044
3872,3,1.045
3873,0,1.044
3874,55,1.044
3875,18,1.045
3876,0,1.045
3877,38,1.038
3878,33,1.044
3879,8,1.045
3880,36,1.045
3881,38,1.045
3882,37,1.048
3883,28,1.045
3884,17,1.04
3885,49,1.037
3886,20,1.044
3887,9,1.044
3888,53,1.036
3889,8,1.044
3890,0,1.045
3891,53,1.044
3892,14,1.045
3893,0,1.045
3894,45,1.046
3895,32,1.038
3896,0,1.047
3897,36,1.045
3898,38,1.044
3899,0,1.046
3900,14,1.045
3901,36,1.044
3902,34,1.051
3903,30,1.036
3904,16,1.052
3905,32,1.038
3906,40,1.045
3907,33,1.036
3908,0,1.052
3909,21,1.038
3910,39,1.038
3911,35,1.045
3912,40,1.052
3913,12,1.041
3914,10,1.038
3915,39,1.036
3916,39,1.043
3917,2,1.044
3918,19,1.045
3919,40,1.037
3920,39,1.043
3921,38,1.044
3922,0,1.045
3923,19,1.044
3924,38,1.045
3925,42,1.049
3926,11,1.048
3927,19,1.044
3928,46,1.044
3929,47,1.045
3930,7,1.037
3931,0,1.046
3932,54,1.044
3933,22,1.036
3934,0,1.023
3935,35,1.027
3936,40,1.044
3937,34,1.044
3938,26,1.045
3939,29,1.044
3940,50,1.043
3941,13,1.045
3942,11,1.038
3943,50,1.037
3944,13,1.038
3945,0,1.044
3946,0,1.045
3947,0,1.031
3948,0,1.052
3949,0,1.038
3950,0,1.045
3951,0,1.038
3952,0,1.046
3953,0,1.037
