block_height,txs
3000,0,1621573093.873
3001,0,1.038
3002,0,1.046
3003,0,1.053
3004,43,1.038
3005,26,1.045
3006,0,1.052
3007,36,1.046
3008,40,1.052
3009,0,1.057
3010,33,1.038
3011,39,1.052
3012,0,1.038
3013,17,1.038
3014,56,1.044
3015,0,1.046
3016,13,1.045
3017,45,1.045
3018,25,1.044
3019,2,1.045
3020,55,1.044
3021,30,1.038
3022,25,1.044
3023,27,1.052
3024,34,1.046
3025,35,1.045
3026,0,1.038
3027,13,1.046
3028,53,1.052
3029,2,1.044
3030,0,1.024
3031,53,1.032
3032,24,1.045
3033,0,1.037
3034,25,1.037
3035,37,1.044
3036,40,1.047
3037,6,1.044
3038,26,1.044
3039,32,1.045
3040,34,1.044
3041,36,1.041
3042,0,1.038
3043,12,1.037
3044,45,1.044
3045,42,1.044
3046,44,1.044
3047,8,1.036
3048,2,1.044
3049,43,1.044
3050,44,1.044
3051,30,1.05
3052,28,1.044
3053,35,1.044
3054,36,1.044
3055,12,1.034
3056,0,1.031
3057,41,1.045
3058,35,1.037
3059,0,1.045
3060,24,1.045
3061,44,1.054
3062,42,1.038
3063,15,1.045
3064,38,1.044
3065,44,1.045
3066,26,1.041
3067,0,1.038
3068,40,1.038
3069,38,1.04
3070,0,1.042
3071,31,1.038
3072,48,1.038
3073,0,1.046
3074,17,1.045
3075,49,1.044
3076,26,1.054
3077,8,1.038
3078,42,1.051
3079,32,1.038
3080,30,1.046
3081,14,1.045
3082,30,1.045
3083,47,1.045
3084,0,1.045
3085,19,1.046
3086,58,1.037
3087,0,1.037
3088,8,1.038
3089,38,1.037
3090,18,1.029
3091,0,1.054
3092,41,1.044
3093,33,1.047
3094,0,1.046
3095,33,1.045
3096,43,1.045
3097,35,1.053
3098,33,1.038
3099,16,1.052
3100,37,1.046
3101,40,1.045
3102,4,1.037
3103,29,1.052
3104,48,1.044
3105,5,1.054
3106,27,1.037
3107,42,1.037
3108,5,1.045
3109,15,1.045
3110,50,1.044
3111,16,1.044
3112,17,1.045
3113,49,1.037
3114,23,1.037
3115,27,1.275
3116,30,1.052
3117,33,1.045
3118,36,1.046
3119,8,1.045
3120,41,1.046
3121,37,1.052
3122,4,1.045
3123,28,1.052
3124,40,1.041
3125,2,1.051
3126,6,1.036
3127,45,1.051
3128,35,1.046
3129,2,1.045
3130,29,1.052
3131,45,1.044
3132,36,1.037
3133,9,1.045
3134,25,1.051
3135,42,1.043
3136,29,1.044
3137,0,1.052
3138,38,1.045
3139,37,1.046
3140,2,1.054
3141,19,1.045
3142,28,1.044
3143,37,1.046
3144,0,1.04
3145,0,1.044
3146,0,1.044
3147,0,1.052
